branch_id,branch_name,province,city,address,postal_code,phone,email,is_airport_branch,opening_hours,manager_name,fleet_capacity,created_at,updated_at,is_active,source_system
BR001,DriveZA Johannesburg,Gauteng,Johannesburg,13 Voortrekker St,5012,0713341057,johannesburg.branch@driveza.co.za,False,07:00-19:00,Anna Zulu,111,2019-02-25T00:00:00,2023-01-21T00:00:00,True,CRM_WEB
BR002,DriveZA Pretoria,Gauteng,Pretoria,16 Main St,4582,0719478454,pretoria.branch@driveza.co.za,False,07:00-19:00,Xolani Nkosi,96,2016-02-12T00:00:00,2024-01-06T00:00:00,True,CRM_WEB
BR003,DriveZA Sandton,Gauteng,Sandton,113 Commissioner St,5557,0603678638,sandton.branch@driveza.co.za,False,07:00-19:00,David Philips,68,2016-07-23T00:00:00,2020-11-14T00:00:00,True,CRM_WEB
BR004,DriveZA Midrand,Gauteng,Midrand,53 Main St,7224,0637022674,midrand.branch@driveza.co.za,False,07:00-19:00,Aisha Reddy,102,2016-06-25T00:00:00,2020-03-29T00:00:00,True,CRM_WEB
BR005,DriveZA Centurion,Gauteng,Centurion,194 Main St,5803,0764226067,centurion.branch@driveza.co.za,False,07:00-19:00,Lisa Ndlovu,30,2018-09-16T00:00:00,2021-04-11T00:00:00,True,CRM_WEB
BR006,DriveZA Soweto,Gauteng,Soweto,120 Main St,7227,0728606962,soweto.branch@driveza.co.za,False,07:00-19:00,James Singh,45,2017-01-28T00:00:00,2021-12-28T00:00:00,True,CRM_WEB
BR007,DriveZA Cape Town,Western Cape,Cape Town,37 Jan Smuts St,3803,0845107245,cape.town.branch@driveza.co.za,False,07:00-19:00,Ayanda Mbatha,73,2016-07-06T00:00:00,2023-08-03T00:00:00,True,CRM_WEB
BR008,DriveZA Stellenbosch Airport,Western Cape,Stellenbosch,167 Main St,4752,0616292423,stellenbosch.branch@driveza.co.za,True,06:00-22:00,Tendai Jones,33,2016-03-08T00:00:00,2023-03-07T00:00:00,True,CRM_WEB
BR009,DriveZA George,Western Cape,George,256 Commissioner St,8517,0645443951,george.branch@driveza.co.za,False,07:00-19:00,Mpho Botha,120,2018-02-23T00:00:00,2023-01-08T00:00:00,True,CRM_WEB
BR010,DriveZA Paarl,Western Cape,Paarl,299 Commissioner St,6930,0713320821,paarl.branch@driveza.co.za,False,07:00-19:00,Tshepo Buthelezi,36,2019-03-28T00:00:00,2020-04-06T00:00:00,True,CRM_WEB
BR011,DriveZA Somerset West Airport,Western Cape,Somerset West,82 Commissioner St,2040,0787402509,somerset.west.branch@driveza.co.za,True,06:00-22:00,Xolani Mbatha,92,2016-05-29T00:00:00,2023-02-07T00:00:00,True,CRM_WEB
BR012,DriveZA Durban Airport,KwaZulu-Natal,Durban,59 Jan Smuts St,5371,0742871534,durban.branch@driveza.co.za,True,06:00-22:00,Rethabile Philips,45,2017-07-18T00:00:00,2020-01-07T00:00:00,False,CRM_WEB
BR013,DriveZA Pietermaritzburg,KwaZulu-Natal,Pietermaritzburg,135 Jan Smuts St,3927,0832785277,pietermaritzburg.branch@driveza.co.za,False,07:00-19:00,Omar Phiri,63,2019-09-20T00:00:00,2023-08-01T00:00:00,True,CRM_WEB
BR014,DriveZA Richards Bay Airport,KwaZulu-Natal,Richards Bay,192 Church St,9837,0831009594,richards.bay.branch@driveza.co.za,True,06:00-22:00,Xolani Pillay,87,2015-02-09T00:00:00,2020-08-17T00:00:00,True,CRM_WEB
