payment_id,rental_id,customer_id,payment_date,amount_zar,payment_method,transaction_ref,payment_type,status,gateway,currency,created_at,source_system
PY0000001,RN000001,CU00427,2021-06-28,18459.72,Cash,TXN811786243,Top-up,Success,Ozow,ZAR,2022-08-28T00:00:00,CRM_WEB
PY0000002,RN000003,CU00314,2023-01-12,3810.11,EFT,TXN716809699,Booking Deposit,Success,Ozow,ZAR,2024-05-02T00:00:00,CORPORATE_PORTAL
PY0000003,RN000004,CU00077,2023-08-02,9838.98,Corporate Account,TXN897635694,Booking Deposit,Success,Ozow,ZAR,2020-12-12T00:00:00,CALL_CENTER
PY0000004,RN000005,CU00508,2024-01-19,5395.21,Corporate Account,TXN760175802,Top-up,Success,PayFast,ZAR,2023-09-12T00:00:00,CALL_CENTER
PY0000005,RN000006,CU00079,2020-11-22,10891.72,Debit Card,TXN808413784,Booking Deposit,Success,PayFast,ZAR,2020-10-19T00:00:00,WALK_IN
PY0000006,RN000007,CU00028,2024-06-24,34363.95,Credit Card,TXN114334063,Final Payment,Success,Standard Bank EFT,ZAR,2024-02-23T00:00:00,CRM_MOBILE
PY0000007,RN000008,CU00359,2024-01-09,1279.5,Cash,TXN113618653,Booking Deposit,Success,Standard Bank EFT,ZAR,2021-11-11T00:00:00,CRM_MOBILE
PY0000008,RN000009,CU00082,2023-08-25,23670.61,Cash,TXN134671600,Booking Deposit,Success,Ozow,ZAR,2024-01-15T00:00:00,CORPORATE_PORTAL
PY0000009,RN000010,CU00285,2022-08-15,28401.84,Corporate Account,TXN595930156,Final Payment,Success,PayFast,ZAR,2021-02-10T00:00:00,WALK_IN
PY0000010,RN000011,CU00516,2022-03-15,11616.56,Cash,TXN765082555,Booking Deposit,Success,Ozow,ZAR,2021-10-30T00:00:00,CRM_MOBILE
PY0000011,RN000012,CU00280,2024-06-30,11749.58,Corporate Account,TXN938386933,Final Payment,Success,Peach Payments,ZAR,2024-05-27T00:00:00,CRM_WEB
PY0000012,RN000013,CU00498,2023-05-15,2587.06,Corporate Account,TXN446991562,Final Payment,Success,Standard Bank EFT,ZAR,2024-03-03T00:00:00,THIRD_PARTY_OTA
PY0000013,RN000014,CU00284,2022-10-19,49333.84,EFT,TXN956261352,Final Payment,Success,Standard Bank EFT,ZAR,2023-03-15T00:00:00,CALL_CENTER
PY0000014,RN000015,CU00565,2024-02-10,21151.59,Debit Card,TXN674823906,Top-up,Success,Ozow,ZAR,2024-03-11T00:00:00,WALK_IN
PY0000015,RN000017,CU00207,2022-01-12,15444.25,Debit Card,TXN430083891,Booking Deposit,Success,Standard Bank EFT,ZAR,2021-06-29T00:00:00,CALL_CENTER
PY0000016,RN000018,CU00358,2024-03-10,23897.49,Debit Card,TXN898514791,Final Payment,Success,Peach Payments,ZAR,2023-12-15T00:00:00,WALK_IN
PY0000017,RN000019,CU00441,2023-09-24,953.96,Credit Card,TXN938597517,Booking Deposit,Pending,PayFast,ZAR,2024-01-11T00:00:00,CRM_WEB
PY0000018,RN000020,CU00387,2023-12-11,6473.71,Debit Card,TXN113065071,Booking Deposit,Success,Ozow,ZAR,2022-09-03T00:00:00,CALL_CENTER
PY0000019,RN000021,CU00197,2022-06-26,15567.59,Cash,TXN289918453,Booking Deposit,Success,Standard Bank EFT,ZAR,2021-09-27T00:00:00,THIRD_PARTY_OTA
PY0000020,RN000022,CU00328,2023-03-30,11408.27,EFT,TXN243602626,Top-up,Success,Ozow,ZAR,2022-03-10T00:00:00,WALK_IN
PY0000021,RN000023,CU00056,2022-12-26,18181.35,EFT,TXN731681525,Booking Deposit,Success,Ozow,ZAR,2021-06-25T00:00:00,CRM_MOBILE
PY0000022,RN000024,CU00550,2024-06-18,26140.12,Credit Card,TXN413179118,Booking Deposit,Success,PayFast,ZAR,2024-04-23T00:00:00,CALL_CENTER
PY0000023,RN000025,CU00599,2023-12-23,5949.72,EFT,TXN648263683,Final Payment,Success,Peach Payments,ZAR,2023-09-29T00:00:00,WALK_IN
PY0000024,RN000026,CU00045,2020-12-08,59568.03,Cash,TXN361689502,Top-up,Success,Ozow,ZAR,2024-02-22T00:00:00,THIRD_PARTY_OTA
PY0000025,RN000027,CU00101,2020-04-10,8413.21,Cash,TXN802402396,Booking Deposit,Success,PayGate,ZAR,2020-07-13T00:00:00,CALL_CENTER
PY0000026,RN000028,CU00534,2024-04-05,37910.54,Credit Card,TXN711161460,Booking Deposit,Success,Peach Payments,ZAR,2024-05-03T00:00:00,WALK_IN
PY0000027,RN000029,CU00322,2023-04-08,4108.93,Debit Card,TXN259188869,Top-up,Success,PayFast,ZAR,2021-09-28T00:00:00,CRM_WEB
PY0000028,RN000030,CU00572,2023-04-30,12520.62,Credit Card,TXN176328750,Final Payment,Success,PayFast,ZAR,2024-06-14T00:00:00,THIRD_PARTY_OTA
PY0000029,RN000031,CU00210,2023-04-16,9222.79,Debit Card,TXN834064336,Booking Deposit,Failed,Standard Bank EFT,ZAR,2023-05-17T00:00:00,CRM_WEB
PY0000030,RN000032,CU00436,2024-04-05,30752.94,Credit Card,TXN671190910,Booking Deposit,Success,Peach Payments,ZAR,2023-11-23T00:00:00,CRM_MOBILE
PY0000031,RN000033,CU00534,2023-12-07,10016.99,Cash,TXN504376131,Booking Deposit,Success,PayGate,ZAR,2020-02-27T00:00:00,CRM_MOBILE
PY0000032,RN000034,CU00155,2023-08-03,1726.02,Debit Card,TXN662332714,Final Payment,Success,Ozow,ZAR,2023-06-05T00:00:00,CORPORATE_PORTAL
PY0000033,RN000035,CU00478,2022-05-07,7284.91,Cash,TXN326753976,Top-up,Failed,Peach Payments,ZAR,2024-03-22T00:00:00,CORPORATE_PORTAL
